ADDRESS,BUILD_YEAR
"1 Salvin Road, Gwelup",2011.0
"1 Samos Place, Mindarie",1995.0
"1 Sandalford Drive, Beldon",1983.0
"1 Sandridge Street, Banksia Grove",
"1 Sandringham Street, Trigg",1972.0
"1 Sapium Way, Woodvale",
"1 Scarcliffe Way, Carine",1988.0
"1 Scott Street, Kewdale",2009.0
"1 Seabreeze Avenue, Burns Beach",
"1 Seaflight Court, Heathridge",1997.0
"1 Searle Road, Ardross",2006.0
"1 Sedge Link, Atwell",2004.0
"1 Sellenger Avenue, Samson",1981.0
"1 Seton Lane, Kinross",1999.0
"1 Shackleton Street, Bassendean",1923.0
"1 Sheppard Way, Marmion",1980.0
"1 Shiralee Bend, Carramar",2006.0
"1 Shoal Court, Coogee",1990.0
"1 Short Street, North Beach",1973.0
"1 Silica Road, Wattle Grove",
"1 Silky Lane, Wandi",2016.0
"1 Simon Place, City Beach",1968.0
"1 Sistina Road, Ashby",2006.0
"1 Skottowe Parkway, Parmelia",
"1 Skye Lane, Ellenbrook",2008.0
"1 Smailes Elbow, Brookdale",2013.0
"1 Smitherson Street, Noranda",1989.0
"1 Smullin Street, Hamilton Hill",1999.0
"1 SNOWY RISE, Hammond Park",2004.0
"1 Solly Court, Bull Creek",1978.0
"1 Spargo Street, Myaree",2000.0
"1 Spring Hill, Tapping",2008.0
"1 Spruce Place, Thornlie",1997.0
"1 Spruce Terrace, Aubin Grove",2009.0
"1 St Fillans Bend, Wanneroo",2000.0
"1 St Ives Loop, Kallaroo",2009.0
"1 Stephen Street, Queens Park",2015.0
"1 Stitfold Promenade, Salter Point",2002.0
"1 Stokesay Street, Orelia",2006.0
"1 Strathmore Parkway, Ellenbrook",2006.0
"1 Strathpine Chase, Landsdale",2005.0
"1 Strelley Lane, Carramar",2002.0
"1 Stretton Way, Kenwick",1972.0
"1 Strickland Court, Coogee",1988.0
"1 Styne Road, City Beach",1974.0
"1 Success Crescent, Salter Point",2002.0
"1 Sumich Gardens, Coogee",
"1 Swallow Grove, Waikiki",1992.0
"1 Sweeney Way, Padbury",1972.0
"1 Talisker Mews, Ballajura",1994.0
"1 Tall Karri Close, Camillo",1993.0
"1 Tattler Place, Huntingdale",1990.0
"1 Taylor Street, White Gum Valley",1910.0
"1 Teetree Court, Beechboro",1990.0
"1 Temple Mews, Iluka",2010.0
"1 Tenella Mews, Warnbro",1993.0
"1 Tennyson Street, Bellevue",1950.0
"1 Tetbury Road, Butler",2003.0
"1 The Mead, Kiara",1994.0
"1 The Mews, Kardinya",1994.0
"1 Thomas Hamilton Avenue, Mirrabooka",2001.0
"1 Thorman Place, Booragoon",2012.0
"1 Thornbill Loop, Beeliar",1996.0
"1 Thurlow Avenue, Yokine",1957.0
"1 Till Street, Herne Hill",1970.0
"1 Tintern Road, Ashby",2006.0
"1 Tippett Court, Willetton",1992.0
"1 Tiwi Court, Iluka",2000.0
"1 Tolbury Retreat, Kiara",1994.0
"1 Torre Link, Darch",2010.0
"1 Torridon Loop, Wanneroo",1997.0
"1 Treaty Oak Cove, Bibra Lake",1995.0
"1 Treave Street, Cloverdale",2003.0
"1 Triller Road, Bennett Springs",2009.0
"1 Trilogy Court, The Vines",2001.0
"1 Trona Place, Forrestfield",1994.0
"1 Tropicana Way, Safety Bay",1994.0
"1 Troy Avenue, Marmion",1979.0
"1 Tucker Street, Medina",1969.0
"1 Tuckeroo Parade, Helena Valley",
"1 Tullow Road, Floreat",1972.0
"1 Turner Parkway, Carramar",2006.0
"1 Turner Street, Warnbro",1980.0
"1 TWIN VIEW, Swan View",2001.0
"1 Umina Street, High Wycombe",1971.0
"1 Valencia Avenue, Churchlands",1999.0
"1 Vantage Way, Burswood",2015.0
"1 Veldt Mews, Mirrabooka",1990.0
"1 Venetian Way, Baldivis",2014.0
"1 Verve Court, Marmion",2011.0
"1 Vilamour Close, Currambine",1991.0
"1 Viola Place, Beechboro",1997.0
"1 Violet Street, Middle Swan",1970.0
"1 Virgilia Terrace, South Lake",1989.0
"1 Voyager Link, Pearsall",2011.0
"1 Wake Court, Redcliffe",1994.0
"1 Wallace Street, Mundijong",2000.0
"1 Wambiri Close, South Lake",2005.0
"1 Warlu Place, High Wycombe",2002.0
"1 Warnt Court, South Guildford",1998.0
"1 Waterway Crescent, Ascot",2001.0
"1 Wattle Court, Mahogany Creek",1997.0
"1 Waugh Court, North Lake",
"1 Wayford Circle, Hocking",2004.0
"1 Webb Street, Rossmoyne",1967.0
"1 Weema Court, Swan View",1990.0
"1 Weetman Cove, Cannington",1998.0
"1 Wendo Court, Hillman",1986.0
"1 Wenstead Place, Stratton",1993.0
"1 Werri Place, Clarkson",2006.0
"1 Wescap Rise, Merriwa",1989.0
"1 Whelk Place, Mullaloo",1995.0
"1 White Place, Subiaco",1988.0
"1 White Street, North Fremantle",1920.0
"1 Whitehouse Drive, Koondoola",
"1 Wildwood Mews, Carramar",2015.0
"1 Willard Circuit, Banksia Grove",2012.0
"1 Williams Court, Melville",1961.0
"1 Williamson Way, Trigg",1960.0
"1 Willow Way, Gooseberry Hill",1977.0
"1 Wilson Lane, Bateman",1992.0
"1 Wimbledon Drive, Kingsley",1982.0
"1 Windoo Place, Koongamia",1959.0
"1 Windoo Road, Parkerville",1975.0
"1 Wintergreene Drive, Bennett Springs",2006.0
"1 Wissota Pass, Secret Harbour",2003.0
"1 Woodbine Loop, Tapping",2004.0
"1 Woodbine Terrace, Mirrabooka",1990.0
"1 Woodfield Close, Mount Helena",1999.0
"1 Woodlands Way, Jandakot",2001.0
"1 Woolmore Cross, Atwell",
"1 Yallambee Place, Karawara",
"1 Yilgarn Street, White Gum Valley",2000.0
"1 Yule Street, City Beach",1973.0
"1 Zamia Road, Gooseberry Hill",
"1 Zanzibar Loop, Aveley",2009.0
"1/1 Coolgardie Street, West Perth",2008.0
"1/1 French Street, Ashfield",2009.0
"1/1 Lentona Road, Attadale",1970.0
"1/1 Muriel Avenue, Woodlands",2003.0
"1/1 Wingfield Avenue, Crawley",1968.0
"1/10 Gibson Street, Mount Pleasant",1987.0
"1/11 Adamson Road, Brentwood",1989.0
"1/11 Elvire Street, Viveash",1995.0
"1/11 Stott Close, Armadale",1992.0
"1/11 Waterway Crescent, Ascot",1999.0
"1/125 Swansea Street, East Victoria Park",1948.0
"1/126 Telford Crescent, Stirling",2007.0
"1/13 Helm Street, Mount Pleasant",1992.0
"1/13 Sorrento Street, North Beach",1984.0
"1/14 Godwit Street, Queens Park",2011.0
"1/14 Greenshank Drive, Joondalup",2006.0
"1/14 Mineral Place, Forrestfield",1994.0
"1/14a Norman Street, St James",2009.0
"1/15 Bredgar Way, Marangaroo",1994.0
"1/15 Cook Street, Crawley",1981.0
"1/15 Lisbon Court, Parkwood",1992.0
"1/157 Kinross Drive, Kinross",
"1/159 Mcdonald Street, Joondanna",1991.0
"1/16 Coneflower Corner, Churchlands",
"1/16 Leverburgh Street, Ardross",2005.0
"1/16 Tavistock Crescent, Lynwood",1967.0
"1/163 Tyler Street, Tuart Hill",1974.0
"1/164 McDonald Street, Joondanna",1995.0
"1/165 Canning Highway, South Perth",1928.0
"1/17 Elizabeth Street, East Cannington",2006.0
"1/17 Satellite Retreat, Kiara",
"1/18 Coongan Avenue, Greenmount",1950.0
"1/18 Devon Way, Lynwood",1967.0
"1/18 Mary Street, Highgate",1994.0
"1/182 Fulham Street, Kewdale",1993.0
"1/19 Drabble Road, Scarborough",1962.0
"1/19 Flora Terrace, Watermans Bay",1989.0
"1/19 Roseheath Boulevard, Kiara",1995.0
"1/19 Tamar Street, Palmyra",1963.0
"1/20 Holton Way, Cannington",2008.0
"1/202 Crawford Road, Inglewood",1979.0
"1/205 French Street, Tuart Hill",1956.0
"1/208 Albert Street, Osborne Park",1994.0
"1/21 Fletcher Street, Applecross",1993.0
"1/218 Westview Street, Scarborough",1988.0
"1/22 Ada Street, Watermans Bay",1997.0
"1/22 Harper Street, Woodbridge",1996.0
"1/22 Manoff Road, Balcatta",1992.0
"1/22 Prinsep Road, Melville",2002.0
"1/22 Redgate Court, Kiara",1994.0
"1/23 Avonmore Terrace, Cottesloe",1964.0
"1/23 Golf Road, Parkwood",1986.0
"1/24 Coventry Road, Shoalwater",1991.0
"1/24 Melinga Court, Karawara",
"1/242 French Street, Tuart Hill",1995.0
"1/265 Kooyong Road, Kewdale",1989.0
"1/268 Guildford Road, Maylands",1952.0
"1/28 Alday Street, St James",2003.0
"1/29 Money Road, Melville",
"1/29 Seaforth Road, Shoalwater",2010.0
"1/29 Spoonbill Place, Queens Park",2006.0
"1/29 Stratford Street, East Fremantle",1987.0
