ADDRESS,NEAREST_STN
"1 Lauder Place, Kinross",Currambine Station
"1 Laughton Way, Leeming",Murdoch Station
"1 Lee Street, Forrestfield",Madding
"1 Leigh Court, Marangaroo",Warwick Station
"1 Lena Street, Beckenham",Beckenham Station
"1 Lennoxtown Road, Duncraig",Greenwood Station
"1 Letchworth Centre Avenue, Salter Point",Canning Bridge Station
"1 Librizzi Parade, Sinagra",Joondalup Station
"1 Lilypond Court, Ascot",Bassendean Station
"1 Lindeman Heights, Ridgewood",Clarkson Station
"1 Linnett Brace, Darch",Greenwood Station
"1 Lintonmarc Drive, Redcliffe",Ashfield Station
"1 Litchfield Crescent, Carramar",Currambine Station
"1 Little Lefroy Lane, South Fremantle",Fremantle Station
"1 Love Street, Myaree",Bull Creek Station
"1 Luhrs Court, Mundaring",Midland Station
"1 Luke Place, Ascot",Bassendean Station
"1 Lundy Cove, Kiara",Ashfield Station
"1 Macdonald Road, Applecross",Canning Bridge Station
"1 Mackie Place, Midvale",Midland Station
"1 Maidos Street, Ashfield",Ashfield Station
"1 MAJORELLE WAY, Eglinton",Butler Station
"1 Mal Bay Court, Mindarie",Clarkson Station
"1 Malcolm Street, North Beach",Warwick Station
"1 Maley Court, Ashfield",Ashfield Station
"1 Malibu Entrance, Iluka",Currambine Station
"1 Malone Mews, Clarkson",Clarkson Station
"1 Manhattan Concourse, Hilbert",Armadale Station
"1 Mannaw Place, Hillman",Rockingham Station
"1 Mannix Pass, Queens Park",Canning
"1 Marconi Street, Morley",Ashfield Station
"1 Margaret Road, Secret Harbour",Warnbro Station
"1 Marich Cove, Atwell",Cockburn Central Station
"1 Maritana Road, Kallaroo",Whitfords Station
"1 Marker Road, Ocean Reef",Edgewater Station
"1 Markham Place, Bentley",Welshpool Station
"1 Maroma Loop, Burns Beach",Currambine Station
"1 Martin Avenue, Rivervale",Burswood Station
"1 Mayhill Place, Craigie",Whitfords Station
"1 McBain Court, Langford",Thornlie Station
"1 Mcdermott Road, Kwinana Town Centre",Wellard Station
"1 McKenna Glen, Mount Claremont",Loch Street Station
"1 McKenzie Corner, Bertram",Kwinana Station
"1 McNairn Cross, Leda",Wellard Station
"1 Meadow Place, Hocking",Edgewater Station
"1 Meares Avenue, Parmelia",Wellard Station
"1 Mears Way, Hilbert",Armadale Station
"1 Medawar Loop, Piara Waters",Cockburn Central Station
"1 Melissa Street, Duncraig",Greenwood Station
"1 Melita Drive, Helena Valley",Midland Station
"1 Melrose Crescent, Menora",Perth Station
"1 Mercer Place, Thornlie",Thornlie Station
"1 Merley Crescent, City Beach",Swanbourne Station
"1 Merlot Court, The Vines",Midland Station
"1 Milina Street, Hillman",Rockingham Station
"1 Mingara Avenue, Harrisdale",Kelmscott Station
"1 Mission Place, Cooloongup",Rockingham Station
"1 Moira Mews, Stratton",Midland Station
"1 Monarch Way, Wattle Grove",Madding
"1 Montana Crescent, Dayton",Guildford Station
"1 Montrose Way, Nollamara",Stirling Station
"1 Moody Glen, Palmyra",Fremantle Station
"1 Moseley Drive, The Vines",Woodbridge Station
"1 Mosman Loop, Success",Cockburn Central Station
"1 Mottee Road, Bateman",Murdoch Station
"1 Mudalla Way, Koongamia",Midland Station
"1 Mulberry Lane, Mirrabooka",Warwick Station
"1 Mulgrave Loop, Mindarie",Clarkson Station
"1 Myhill Mews, Leda",Wellard Station
"1 Namoi Street, Hammond Park",Cockburn Central Station
"1 Nardie Place, Hillman",Rockingham Station
"1 Narla Place, Koongamia",Midland Station
"1 Nettia Place, Bennett Springs",Ashfield Station
"1 New Ross Lane, Waterford",Canning Bridge Station
"1 Newman Place, Kenwick",Madding
"1 Newmarket Retreat, Currambine",Joondalup Station
"1 newquay Street, Harrisdale",Cockburn Central Station
"1 Niagara Cove, Bentley",Welshpool Station
"1 Nicholas Crescent, Hilton",Fremantle Station
"1 Nobilis Street, Beeliar",Cockburn Central Station
"1 Norfolk Rise, Mount Claremont",Loch Street Station
"1 Northerly Avenue, Ascot",Bayswater Station
"1 Nundah Court, Glen Forrest",Midland Station
"1 Nyjong Street, Kenwick",Madding
"1 Oakwood Court, Beechboro",Bayswater Station
"1 Oban Court, Duncraig",Greenwood Station
"1 Odell Court, Carine",Warwick Station
"1 Odell Street, Secret Harbour",Warnbro Station
"1 Odessa Place, Beldon",Edgewater Station
"1 Offord Street, Armadale",Armadale Station
"1 Ollera Meander, Carramar",Currambine Station
"1 Ollis Street, Safety Bay",Rockingham Station
"1 O'Mara Boulevard, Iluka",Currambine Station
"1 Orange Valley Road, Kalamunda",Midland Station
"1 Orsulich Loop, Spearwood",Cockburn Central Station
"1 Otway Street, Swanbourne",Swanbourne Station
"1 Palos Court, Sorrento",Greenwood Station
"1 Parish Lane, Churchlands",Glendalough Station
"1 Park Lane, Kardinya",Murdoch Station
"1 Parkwood Avenue, Woodvale",Edgewater Station
"1 Peaceful Close, Marangaroo",Greenwood Station
"1 Pearson Crescent, Bull Creek",Murdoch Station
"1 Pedalstone Drive, Southern River",Thornlie Station
"1 Peet Crescent, Trigg",Stirling Station
"1 Pelion Court, Middle Swan",Midland Station
"1 Penn Lane, Hammond Park",Cockburn Central Station
"1 Penson Street, Singleton",Mandurah Station
"1 Pera Mews, Beldon",Edgewater Station
"1 Peter Way, Rossmoyne",Bull Creek Station
"1 Piermont Avenue, Burns Beach",Currambine Station
"1 Pimelea Rise, Beeliar",Cockburn Central Station
"1 Pixie Place, Two Rocks",Butler Station
"1 Platypus Parkway, Beeliar",Cockburn Central Station
"1 Plover Way, Stirling",Stirling Station
"1 Poinsettia Grove, South Lake",Murdoch Station
"1 Point Link, Alkimos",Butler Station
"1 Polglase Fairway, Clarkson",Clarkson Station
"1 Portland Way, Ridgewood",Clarkson Station
"1 Portsea Gardens, Jandakot",Cockburn Central Station
"1 Presto Close, Quinns Rocks",Butler Station
"1 Printer Street, Dianella",Mount Lawley Station
"1 Pursuit Close, Middle Swan",Midland Station
"1 Purvis Street, Hamilton Hill",Murdoch Station
"1 Quail Place, Langford",Thornlie Station
"1 Quenda Close, Beeliar",Cockburn Central Station
"1 Ragtime Court, Ascot",Bassendean Station
"1 Ramose Close, Heathridge",Joondalup Station
"1 Reflection Mews, Safety Bay",Rockingham Station
"1 Regatta Way, Alkimos",Butler Station
"1 Regent Court, Cockburn Central",Cockburn Central Station
"1 Reginald Street, Queens Park",Canning
"1 Reilly Street, Singleton",Mandurah Station
"1 Reinagle Street, Ashby",Joondalup Station
"1 Repens Way, Banksia Grove",Clarkson Station
"1 Reserve Street, Bicton",North Fremantle Station
"1 Retchford Way, Queens Park",Canning
"1 Reuben Street, Beaconsfield",Fremantle Station
"1 Riber Court, Carine",Warwick Station
